iter	Passed	Remaining
0	147	147626
1	148	74145
2	149	49560
3	149	37270
4	150	29886
5	150	24984
6	151	21488
7	152	18854
8	152	16802
9	153	15161
10	153	13817
11	154	12693
12	154	11745
13	155	10930
14	155	10227
15	156	9612
16	156	9068
17	157	8585
18	157	8152
19	158	7764
20	159	7446
21	160	7143
22	161	6857
23	162	6597
24	163	6358
25	163	6138
26	164	5929
27	165	5732
28	165	5547
29	166	5376
30	166	5217
31	167	5066
32	168	4923
33	168	4788
34	169	4665
35	169	4546
36	170	4432
37	170	4325
38	171	4222
39	171	4125
40	172	4033
41	173	3948
42	174	3894
43	176	3824
44	176	3751
45	177	3678
46	177	3608
47	178	3539
48	179	3474
49	179	3413
50	180	3354
51	180	3296
52	181	3240
53	181	3187
54	182	3136
55	183	3086
56	183	3038
57	184	2991
58	184	2946
59	185	2902
60	185	2860
61	186	2819
62	186	2778
63	187	2741
64	187	2703
65	189	2681
66	190	2651
67	191	2621
68	191	2589
69	192	2557
70	193	2526
71	194	2502
72	194	2472
73	195	2442
74	195	2414
75	196	2388
76	197	2361
77	197	2335
78	198	2310
79	198	2284
80	199	2260
81	199	2236
82	200	2211
83	200	2188
84	201	2166
85	201	2144
86	202	2124
87	203	2105
88	204	2090
89	205	2073
90	205	2057
91	206	2038
92	207	2019
93	207	2001
94	208	1983
95	208	1966
96	209	1949
97	209	1932
98	210	1915
99	211	1899
100	211	1883
101	212	1867
102	212	1852
103	213	1837
104	213	1822
105	214	1808
106	214	1793
107	215	1780
108	216	1766
109	216	1752
110	217	1739
111	217	1726
112	218	1713
113	219	1702
114	220	1698
115	221	1687
116	221	1675
117	222	1663
118	223	1651
119	223	1640
120	224	1632
121	225	1620
122	225	1609
123	226	1599
124	227	1589
125	227	1580
126	228	1569
127	228	1559
128	229	1550
129	230	1540
130	230	1529
131	231	1519
132	231	1509
133	232	1500
134	232	1490
135	233	1481
136	234	1474
137	234	1466
138	235	1457
139	235	1448
140	236	1440
141	236	1430
142	237	1422
143	237	1414
144	238	1406
145	239	1402
146	240	1394
147	241	1388
148	241	1380
149	242	1373
150	243	1366
151	243	1358
152	244	1351
153	244	1343
154	245	1336
155	245	1329
156	246	1321
157	246	1314
158	247	1307
159	247	1300
160	248	1292
161	248	1286
162	249	1280
163	250	1274
164	250	1268
165	251	1262
166	252	1257
167	252	1251
168	253	1245
169	253	1239
170	254	1234
171	255	1230
172	256	1224
173	256	1219
174	257	1214
175	258	1210
176	259	1205
177	259	1200
178	260	1194
179	261	1189
180	261	1183
181	262	1177
182	262	1172
183	263	1166
184	263	1162
185	265	1160
186	265	1156
187	266	1151
188	267	1146
189	267	1142
190	268	1137
191	269	1132
192	269	1128
193	270	1124
194	271	1120
195	272	1117
196	273	1113
197	274	1110
198	274	1106
199	275	1102
200	276	1098
201	277	1094
202	277	1090
203	278	1087
204	279	1084
205	280	1081
206	281	1078
207	282	1074
208	283	1071
209	283	1067
210	284	1063
211	285	1060
212	285	1055
213	286	1052
214	287	1048
215	287	1044
216	289	1043
217	290	1041
218	291	1037
219	291	1034
220	292	1031
221	293	1028
222	294	1027
223	295	1024
224	297	1023
225	297	1020
226	298	1017
227	299	1014
228	300	1012
229	301	1009
230	302	1006
231	303	1004
232	304	1001
233	305	998
234	305	994
235	306	991
236	306	987
237	307	984
238	308	980
239	309	979
240	310	976
241	310	973
242	311	969
243	311	966
244	312	962
245	313	959
246	313	955
247	314	952
248	314	949
249	315	946
250	315	942
251	316	940
252	317	936
253	317	933
254	318	930
255	319	927
256	319	924
257	320	921
258	320	918
259	321	915
260	322	913
261	323	910
262	323	907
263	324	905
264	325	902
265	325	899
266	326	895
267	326	892
268	327	889
269	327	886
270	328	883
271	329	881
272	330	879
273	330	876
274	331	874
275	332	871
276	333	869
277	333	866
278	334	863
279	334	860
280	335	858
281	336	855
282	336	852
283	337	849
284	337	846
285	338	844
286	339	843
287	340	841
288	340	838
289	341	836
290	342	833
291	342	831
292	343	828
293	343	826
294	344	823
295	345	821
296	346	819
297	347	817
298	348	816
299	348	813
300	349	811
301	349	808
302	350	806
303	351	803
304	351	801
305	352	798
306	352	796
307	353	793
308	354	791
309	354	789
310	355	787
311	356	785
312	356	783
313	357	780
314	357	778
315	358	775
316	358	773
317	359	770
318	360	769
319	361	767
320	362	765
321	362	763
322	363	761
323	364	759
324	364	757
325	365	755
326	365	752
327	366	750
328	367	749
329	367	746
330	368	744
331	369	743
332	370	741
333	370	739
334	371	737
335	371	735
336	372	732
337	373	730
338	373	728
339	374	726
340	375	725
341	376	723
342	376	721
343	377	719
344	377	717
345	378	715
346	379	713
347	380	712
348	380	710
349	381	708
350	382	706
351	382	704
352	383	702
353	383	700
354	385	699
355	385	698
356	386	696
357	387	694
358	387	692
359	388	690
360	389	689
361	390	688
362	391	687
363	392	685
364	393	683
365	393	682
366	394	680
367	394	678
368	395	676
369	396	674
370	396	672
371	397	670
372	397	668
373	398	666
374	399	666
375	400	664
376	401	662
377	401	660
378	402	658
379	402	657
380	403	655
381	403	653
382	404	651
383	405	650
384	405	648
385	406	647
386	407	645
387	408	643
388	408	642
389	409	640
390	409	638
391	410	636
392	411	634
393	411	632
394	412	631
395	412	629
396	413	627
397	413	625
398	414	624
399	415	622
400	415	621
